frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,frame.cap_len,frame.len,frame.number,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,tcp.len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,ip.proto
0.002472000,0.002472000,1696474016.164713000,,1.015464000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,0x0010,54,54,16,1,0.003258000,0.002472000,0,502,0x060d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474016.164713000,,1.015464000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60469,1883,0x0011,54,54,17,1,0.003258000,0.000000000,0,502,0x060b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000072000,0.000072000,1696474016.164785000,,1.015536000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60469,0x0010,54,54,18,1,0.003258000,0.000072000,0,513,0x0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003367000,1.003367000,1696474017.168152000,,2.018903000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59077,1883,0x0002,74,74,19,2,,0.000000000,0,64240,0x96aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000104000,0.000104000,1696474017.168256000,,2.019007000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59077,0x0012,66,66,20,2,,0.000104000,0,65535,0x004b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002583000,0.002583000,1696474017.170839000,,2.021590000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59077,1883,0x0010,54,54,21,2,0.002687000,0.002583000,0,502,0x3f28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000180000,0.000180000,1696474017.171019000,,2.021770000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59077,1883,0x0018,93,93,22,2,0.002687000,0.000180000,39,502,0x6d2f,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,37,,,1,password1,9,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000329000,0.000329000,1696474017.171348000,,2.022099000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59077,0x0018,59,59,23,2,0.002687000,0.000329000,5,513,0x1e5f,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000073000,0.000073000,1696474017.171421000,,2.022172000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59077,0x0011,54,54,24,2,,0.000073000,0,513,0x3ef0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002332000,0.002332000,1696474017.173753000,,2.024504000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59077,1883,0x0010,54,54,25,2,0.002687000,0.002332000,0,502,0x3efc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474017.173753000,,2.024504000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59077,1883,0x0011,54,54,26,2,0.002687000,0.000000000,0,502,0x3efa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000068000,0.000068000,1696474017.173821000,,2.024572000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59077,0x0010,54,54,27,2,0.002687000,0.000068000,0,513,0x3eef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003348000,1.003348000,1696474018.177169000,,3.027920000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60165,1883,0x0002,74,74,28,3,,0.000000000,0,64240,0x485a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000104000,0.000104000,1696474018.177273000,,3.028024000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60165,0x0012,66,66,29,3,,0.000104000,0,65535,0x6343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002264000,0.002264000,1696474018.179537000,,3.030288000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60165,1883,0x0010,54,54,30,3,0.002368000,0.002264000,0,502,0xa220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474018.179537000,,3.030288000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60165,1883,0x0018,88,88,31,3,0.002368000,0.000000000,34,502,0x6a79,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,32,,,1,1234,4,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000447000,0.000447000,1696474018.179984000,,3.030735000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60165,0x0018,59,59,32,3,0.002368000,0.000447000,5,513,0x815c,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000071000,0.000071000,1696474018.180055000,,3.030806000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60165,0x0011,54,54,33,3,,0.000071000,0,513,0xa1ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002209000,0.002209000,1696474018.182264000,,3.033015000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60165,1883,0x0010,54,54,34,3,0.002368000,0.002209000,0,502,0xa1f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474018.182264000,,3.033015000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,60165,1883,0x0011,54,54,35,3,0.002368000,0.000000000,0,502,0xa1f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000047000,0.000047000,1696474018.182311000,,3.033062000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,60165,0x0010,54,54,36,3,0.002368000,0.000047000,0,513,0xa1ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003587000,1.003587000,1696474019.185898000,,4.036649000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,42117,1883,0x0002,74,74,37,4,,0.000000000,0,64240,0x35ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000158000,0.000158000,1696474019.186056000,,4.036807000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,42117,0x0012,66,66,38,4,,0.000158000,0,65535,0xfb69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002412000,0.002412000,1696474019.188468000,,4.039219000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,42117,1883,0x0010,54,54,39,4,0.002570000,0.002412000,0,502,0x3a47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474019.188468000,,4.039219000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,42117,1883,0x0018,94,94,40,4,0.002570000,0.000000000,40,502,0x4aca,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,38,,,1,epicrouter,10,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000441000,0.000441000,1696474019.188909000,,4.039660000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,42117,0x0018,59,59,41,4,0.002570000,0.000441000,5,513,0x197d,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000079000,0.000079000,1696474019.188988000,,4.039739000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,42117,0x0011,54,54,42,4,,0.000079000,0,513,0x3a0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002289000,0.002289000,1696474019.191277000,,4.042028000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,42117,1883,0x0010,54,54,43,4,0.002570000,0.002289000,0,502,0x3a1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474019.191277000,,4.042028000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,42117,1883,0x0011,54,54,44,4,0.002570000,0.000000000,0,502,0x3a18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000046000,0.000046000,1696474019.191323000,,4.042074000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,42117,0x0010,54,54,45,4,0.002570000,0.000046000,0,513,0x3a0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003454000,1.003454000,1696474020.194777000,,5.045528000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59755,1883,0x0002,74,74,46,5,,0.000000000,0,64240,0x5e03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000115000,0.000115000,1696474020.194892000,,5.045643000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59755,0x0012,66,66,47,5,,0.000115000,0,65535,0xa567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002472000,0.002472000,1696474020.197364000,,5.048115000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59755,1883,0x0010,54,54,48,5,0.002587000,0.002472000,0,502,0xe444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474020.197364000,,5.048115000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59755,1883,0x0018,90,90,49,5,0.002587000,0.000000000,36,502,0xc5b5,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,34,,,1,sysadm,6,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000761000,0.000761000,1696474020.198125000,,5.048876000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59755,0x0018,59,59,50,5,0.002587000,0.000761000,5,513,0xc37e,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000121000,0.000121000,1696474020.198246000,,5.048997000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59755,0x0011,54,54,51,5,,0.000121000,0,513,0xe40f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.004668000,0.004668000,1696474020.202914000,,5.053665000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59755,1883,0x0010,54,54,52,5,0.002587000,0.004668000,0,502,0xe41b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474020.202914000,,5.053665000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,59755,1883,0x0011,54,54,53,5,0.002587000,0.000000000,0,502,0xe419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000112000,0.000112000,1696474020.203026000,,5.053777000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,59755,0x0010,54,54,54,5,0.002587000,0.000112000,0,513,0xe40e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003265000,1.003265000,1696474021.206291000,,6.057042000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49189,1883,0x0002,74,74,55,6,,0.000000000,0,64240,0xb703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000119000,0.000119000,1696474021.206410000,,6.057161000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49189,0x0012,66,66,56,6,,0.000119000,0,65535,0x715b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.004976000,0.004976000,1696474021.211386000,,6.062137000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49189,1883,0x0010,54,54,57,6,0.005095000,0.004976000,0,502,0xb038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474021.211386000,,6.062137000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49189,1883,0x0018,90,90,58,6,0.005095000,0.000000000,36,502,0xa4b5,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,34,,,1,access,6,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000905000,0.000905000,1696474021.212291000,,6.063042000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49189,0x0018,59,59,59,6,0.005095000,0.000905000,5,513,0x8f72,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000159000,0.000159000,1696474021.212450000,,6.063201000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49189,0x0011,54,54,60,6,,0.000159000,0,513,0xb003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002282000,0.002282000,1696474021.214732000,,6.065483000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49189,1883,0x0010,54,54,61,6,0.005095000,0.002282000,0,502,0xb00f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474021.214732000,,6.065483000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,49189,1883,0x0011,54,54,62,6,0.005095000,0.000000000,0,502,0xb00d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000066000,0.000066000,1696474021.214798000,,6.065549000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,49189,0x0010,54,54,63,6,0.005095000,0.000066000,0,513,0xb002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003522000,1.003522000,1696474022.218320000,,7.069071000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,40185,1883,0x0002,74,74,64,7,,0.000000000,0,64240,0x149d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000101000,0.000101000,1696474022.218421000,,7.069172000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,40185,0x0012,66,66,65,7,,0.000101000,0,65535,0xde93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002482000,0.002482000,1696474022.220903000,,7.071654000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,40185,1883,0x0010,54,54,66,7,0.002583000,0.002482000,0,502,0x1d71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474022.220903000,,7.071654000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,40185,1883,0x0018,88,88,67,7,0.002583000,0.000000000,34,502,0x684c,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,32,,,1,root,4,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000506000,0.000506000,1696474022.221409000,,7.072160000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,40185,0x0018,59,59,68,7,0.002583000,0.000506000,5,513,0xfcac,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000081000,0.000081000,1696474022.221490000,,7.072241000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,40185,0x0011,54,54,69,7,,0.000081000,0,513,0x1d3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002425000,0.002425000,1696474022.223915000,,7.074666000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,40185,1883,0x0010,54,54,70,7,0.002583000,0.002425000,0,502,0x1d4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474022.223915000,,7.074666000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,40185,1883,0x0011,54,54,71,7,0.002583000,0.000000000,0,502,0x1d48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000074000,0.000074000,1696474022.223989000,,7.074740000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,40185,0x0010,54,54,72,7,0.002583000,0.000074000,0,513,0x1d3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1.003343000,1.003343000,1696474023.227332000,,8.078083000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,48955,1883,0x0002,74,74,73,8,,0.000000000,0,64240,0x242c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000103000,0.000103000,1696474023.227435000,,8.078186000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,48955,0x0012,66,66,74,8,,0.000103000,0,65535,0xe5bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002652000,0.002652000,1696474023.230087000,,8.080838000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,48955,1883,0x0010,54,54,75,8,0.002755000,0.002652000,0,502,0x249d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000000000,0.000000000,1696474023.230087000,,8.080838000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,48955,1883,0x0018,88,88,76,8,0.002755000,0.000000000,34,502,0x798e,,0,,,,,1,1,0,0,0,1,0,0xc2,,0x10,60,32,,,1,tech,4,4,MQTT,,,,,,,user1_david,11,5,,,,,6
0.000513000,0.000513000,1696474023.230600000,,8.081351000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,48955,0x0018,59,59,77,8,0.002755000,0.000513000,5,513,0x03d9,,,0x00,0,0,,,,,,,,,,,0x20,,3,,,2,,,,,,,,,,,,,,,,,,6
0.000082000,0.000082000,1696474023.230682000,,8.081433000,7c:5c:f8:56:1b:70,08:3e:8e:85:fa:e0,192.168.50.169,192.168.50.185,1883,48955,0x0011,54,54,78,8,,0.000082000,0,513,0x246a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.002399000,0.002399000,1696474023.233081000,,8.083832000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,48955,1883,0x0010,54,54,79,8,0.002755000,0.002399000,0,502,0x2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
0.000113000,0.000113000,1696474023.233194000,,8.083945000,08:3e:8e:85:fa:e0,7c:5c:f8:56:1b:70,192.168.50.185,192.168.50.169,48955,1883,0x0011,54,54,80,8,0.002755000,0.000113000,0,502,0x2474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
